;;;;;;;;;PREFEITURA MUNICIPAL DE GOIANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mês/Ano;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;01/2026;;
;;;;;;;;;AV MARECHAL DEODORO DA FONSECA, 01,  CENTRO. GOIANA-PE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;
;;;;;;;;;CNPJ: 10.150.043/0001-07;;;;;;;;Folha Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;
;;;;;;;;;Página 1 de 10;;;;;;;;
;;;;;;;;

Resumo Contábil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3/31/2026 12:58:50 PM;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vínculo: 03 - ELETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total de Vencimentos;;;;;;;;;;;;;;45.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Total a Empenhar;;;;;;;;;;;;;;;;;;;;;;
;Salário Família;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Total de Proventos;;;;;;;;;45.000,00 (+);;;;;;;;;;;
;Outras Deduções;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Total Patronal;;;;;;;;;7.650,00 (+);;;;;;;;;;;
;Horas Extras (3.1.90.16);;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;FGTS a Recolher;;;;;;;;;0,00 (+);;;;;;;;;;;
;Bolsa de Estudo (3.3.90.18);;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Total de Vantagens;;;;;;;;;0,00 (+);;;;;;;;;;;
;Despesa/Receita.Extra (PASEP,...);;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Dedução de Maternidade;;;;;;;;;0,00 (-);;;;;;;;;;;
;Sal. Maternidade;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Dedução de Salário Família;;;;;;;;;0,00 (-);;;;;;;;;;;
;Beneficios Assistenciais;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;52.650,00 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Total Bruto;;;;;;;;;;;;;45.000,00;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Total de Descontos;;;;;;;;;;;;;;;;;;;;;;;
;Total de Descontos;;;;;;;;;;;;;11.885,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Total de Descontos;;;;;;;;;11.885,97 (+);;;;;;;;;;;
;Total Líquido;;;;;;;;;;;;;33.114,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Dedução de Maternidade;;;;;;;;;0,00 (+);;;;;;;;;;;
;FGTS a Recolher;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Dedução de Salário Família;;;;;;;;;0,00 (+);;;;;;;;;;;
;;Valor Ref. a 13º Salário;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;11.885,97;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Valores Sem 13º Salário;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Patronal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Bruto;;;;;;;;;Deduções;;;;;;;;;;;;;;;;Líquido;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PatronalBruto;;;;;;;;;;SalárioFamília;;;;;;;;SalárioMaternidade;;;OutrasDeduções;;;;;PatronalLíquido;;;;;;;;
Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03;;;;;;;ELETIVO;;;;;;;;;;;;7.650,00;;;;;;;;;;0,00;;;;;;;;0,00;;;0,00;;;;;7.650,00;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;7.650,00;;;;;;;;;;0,00;;;;;;;;0,00;;;0,00;;;;;7.650,00;;;;;;;

Funcionários;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Situação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quantidade;;;;
01 - Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade de trabalhadores processados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;

Proventos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evento;;;;;;;;Descrição;;;;;;;;;;;;;Qtde.;;;;;;;Refer.;;;;;;;Valor;;;;Classificação contábil;;;;;;;;;;;;;
001;;;;;;;;SALARIO BASE;;;;;;;;;;;;;2;;;;;;;60,00;;45.000,00;;;;Salário Base;;;;;;;;;;;;;
;;;;;Resumo de Proventos por Classificação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Salário Base;;;;;;;;;;;;;;;;;;;;;60,00;;;;;;;;45.000,00;;;;
;Total;;;;;;;;;;;;;;;;;;;;;60,00;;;;;;;;45.000,00;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Descontos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evento;;;;;;;;Descrição;;;;;;;;;;;;;Qtde.;;;;;;;Refer.;;;;;;;Valor;;;;Classificação contábil;;;;;;;;;;;;;
919;;;;;;;;PREVIDENCIA - INSS;;;;;;;;;;;;;2;;;;;;;23,32;;1.976,14;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
920;;;;;;;;IRRF - SALARIO;;;;;;;;;;;;;2;;;;;;;55,00;;9.909,83;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Resumo de Descontos por Classificação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sem classificação;;;;;;;;;;;;;;;;;;;;;78,32;;;;;;;;11.885,97;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;;;;;;;;;;;;;;;78,32;;;;;;;;11.885,97;;;;
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Contribuição Previdenciária do Segurado por Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Valor;;;;;;;;
03 - ELETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.976,14;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.976,14;;;;;;;;

Base de I.R.R.F.;;;;;;;;;;;45.000,00;;;;;;Base de Previdência Total;;;;;;;;;;;;;;;;;;;;;;;;;;45.000,00;;;;;;;;
Base de F.G.T.S.;;;;;;;;;;;0,00;;;;;;Base de Previdência por Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;Valor;;;;;;;;
03 - ELETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;45.000,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Fiorilli S/C Software Ltda.;;;;;;;;;;;;; [65/danilo/GOIANA.SRV-006$] {7.1583.255.11.19633/R/19633};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;PREFEITURA MUNICIPAL DE GOIANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mês/Ano;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;01/2026;;
;;;;;;;;AV MARECHAL DEODORO DA FONSECA, 01,  CENTRO. GOIANA-PE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;
;;;;;;;;CNPJ: 10.150.043/0001-07;;;;;;;Folha Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;
;;;;;;;;Página 2 de 10;;;;;;;;
;;;;;;;;

Resumo Contábil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3/31/2026 12:58:50 PM;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vínculo: 30 - EFETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total de Vencimentos;;;;;;;;;;;;8.125.871,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
